Titel,Untertitel,Link,Beschreibung,Stichworte
"Podiumsdiskussion: Hijacked Revolution? Globaler Islamismus nach dem ""Arabischen Frühling""",Inhalt,https://www.bpb.de/mediathek/301978/podiumsdiskussion-hijacked-revolution-globaler-islamismus-nach-dem-arabischen-fruehling,Podiumsdiskussion,"Islamismus, religiös begründeter Extremismus, Arabischer Frühling, naher Osten, Demokratie, Islam, Muslimbruderschaft, Ägypten, Jemen, Al-Qaida"
Podiumsdiskussion: Was können wir wollen? Leitbilder in der Prävention,Weitere Informationen,https://www.bpb.de/mediathek/298669/podiumsdiskussion-was-koennen-wir-wollen-leitbilder-in-der-praevention,"Silke Baer, Cultures Interactive; Dr. Claudia Gatzka, Albert-Ludwigs-Universität Freiburg; Thomas Krüger, Bundeszentrale für politische Bildung; Prof. Dr. Dr. h. c. Manfred G. Schmidt, Ruprecht-Karls-Universität Heidelberg; Moderation: Ole Jantschek,","Podiumsdiskussion, Prävention wofür?, Demokratieverständnisse, politische Bildung, Soziale Arbeit"
Podiumsdiskussion: Was können wir wollen? Leitbilder in der Prävention (mit UT),Inhalt,https://www.bpb.de/mediathek/303766/podiumsdiskussion-was-koennen-wir-wollen-leitbilder-in-der-praevention-mit-ut,"Silke Baer, Cultures Interactive; Dr. Claudia Gatzka, Albert-Ludwigs-Universität Freiburg; Thomas Krüger, Bundeszentrale für politische Bildung; Prof. Dr. Dr. h. c. Manfred G. Schmidt, Ruprecht-Karls-Universität Heidelberg; Moderation: Ole Jantschek,","Demokratie, Prävention, politische Bildung, Soziale Arbeit"
"Podiumsgespräch anlässlich der Buchpräsentation von ""Haben Tiere Rechte?"" am 12.12.2019",Inhalt,https://www.bpb.de/mediathek/305901/podiumsgespraech-anlaesslich-der-buchpraesentation-von-haben-tiere-rechte-am-12-12-2019,Im Gespräch erörtert werden neben der Rechtsstellung und Rechtsdurchsetzung tierlicher Interessen aktuelle Erkenntnisse über die Fähigkeiten von Tieren und deren Folgen für den Umgang mit ihnen.,"Tierrechte, Mensch-Tier-Beziehung, Nutztiere, Tierschutz, Tierethik, Verhaltensforschung, Verhaltensbiologie, Tierbild"
Poland: Eurosceptics on track for Europe,Inhalt,https://www.bpb.de/mediathek/291758/poland-eurosceptics-on-track-for-europe,Our Poland correspondent Olivia Kortas discusses their chances and topics dominating the Polish election campaign. ,"Poland, PiS, Eurosceptics, populism"
"Polen, mitten in Europa","Eine Folge der Serie ""Mit offenen Karten""",https://www.bpb.de/mediathek/178992/polen-mitten-in-europa,Polen trat 2004 der Europäischen Union bei. Diese Folge untersucht die wirtschaftliche und politische Situation des Landes.,"EU-Beitritt, europäische Union, Europäische Integration, Wirtschaftskrise"
Polen: EU-Skeptiker auf Europakurs,Inhalt,https://www.bpb.de/mediathek/291533/polen-eu-skeptiker-auf-europakurs,"Unsere Polen-Korrespondentin Olivia Kortas spricht über die Chancen der Regierungspartei und der Opposition in Polen und über die Themen, um die es im Wahlkampf geht.","Polen, PiS, Rechtspopulismus"
Polit-Serien. Unterhaltsame Konstruktion des Politischen,"Von ""House of Cards"" bis ""Game of Thrones"". Eine Tagung über Politik in Fernsehserien",https://www.bpb.de/mediathek/238283/polit-serien-unterhaltsame-konstruktion-des-politischen,"Andreas Dörner erklärt, warum Serien ein wichtiges Reflexionsmittel der politischen Medienkultur darstellen können.","Politik, Gesellschaft, Fernsehserien, Demokratie, Medienkompetenz, Serielles Erzählen, Filmsprache, Forschung, Schule, Unterricht"
PolitAppeal,"Ein Film aus der Reihe ""Das Image der Politik und der Politiker""",https://www.bpb.de/mediathek/613/politappeal,Dieser Film beobachtet die Begegnungen von sechs Schulklassen mit elf Politiker/innen aus unterschiedlichen Parteien. An den Schulen werden elf filmische Porträts ausgewertet und danach mit den Politikern persönlich diskutiert.,"Politiker, politisches Engagement, Politikvermittlung, Jugend"
Political Culture in Europe 1918 to 1939,1918 – 1938 – 2018 – Beginn eines autoritären Jahrhunderts?,https://www.bpb.de/mediathek/280437/political-culture-in-europe-1918-to-1939,Margaret MacMillan (Oxford University) - The Long Shadow of the Paris Peace Treaties of 1919 and the Impact on Europe in 2018,"Jugenddemokratiepreis, Jugendjury, Preis, Rechtsextremismus, No Border Magazin, Stimmen des Nordens, Interkulturelles Streetwork, Preisverleihung, Demokratie, Internationaler Demokratiepreis"
Political Culture in Europe 1918 to 1939,1918 – 1938 – 2018 – Beginn eines autoritären Jahrhunderts?,https://www.bpb.de/mediathek/280440/political-culture-in-europe-1918-to-1939,Oliver Schmitt (University of Vienna) - The Balkan States and the Impact of Regional Political Cultures since 1918,"Jugenddemokratiepreis, Jugendjury, Preis, Rechtsextremismus, No Border Magazin, Stimmen des Nordens, Interkulturelles Streetwork, Preisverleihung, Demokratie, Internationaler Demokratiepreis"
Politik als Wissensverwaltung: The West Wing und die epistemischen Mühen der amerikanischen Präsidentschaft,"Von ""House of Cards"" bis ""Game of Thrones"". Eine Tagung über Politik in Fernsehserien",https://www.bpb.de/mediathek/238299/politik-als-wissensverwaltung-the-west-wing-und-die-epistemischen-muehen-der-amerikanischen-praesidentschaft,"Sebastian M. Herrmann verbindet das positive Politikbild der Serie ""The West Wing"" mit der Frage nach Wissen und Repräsentation in der Politik.","Politik, Gesellschaft, Fernsehserien, Demokratie, Medienkompetenz, Serielles Erzählen, Filmsprache, Forschung, Schule, Unterricht"
Politische Bildung für Förderschulen,Energizer,https://www.bpb.de/mediathek/vorbild/,"Die DVD VorBild enthält Unterrichtsmaterialien zur politischen Bildung, zum sozialen Lernen und wurde speziell für den Einsatz an Förderschulen entwickelt. ","VorBild, Förderschule, Unterrichtsmaterialien"
Politische Bildung für und mit Geflüchteten,Inhalt,https://www.bpb.de/mediathek/246345/politische-bildung-fuer-und-mit-gefluechteten,"Politische Bildung für Geflüchtete muss interdisziplinär sein und bereits im Spracherwerb platziert werden, erklärte Thomas Krüger, Präsident der bpb, im Rahmen der Netzwerkveranstaltung „Digitale Bildung & Geflüchtete“. Im Gespräch erzählt er außerd","politische Bildung, Interdisziplinarität, Geflüchtete"
Politische Bildung in der Einwanderungsgesellschaft,Kreuzberger Initiative gegen Antisemitismus,https://www.bpb.de/mediathek/261736/politische-bildung-in-der-einwanderungsgesellschaft,Seit mehr als zehn Jahren beschäftigt sich die Kreuzberger Initiative gegen Antisemitismus (KIgA) speziell mit Judenfeindschaft unter Jugendlichen mit Migrationshintergrund. Aus ihren Erfahrungen schöpfend hat der Verein im vergangenen Jahr ein Model,"Extremismus, Antisemitismus, Judenfeindschaft, Einwanderungsgesellschaft"
Politische Bildung muss Hilfestellung leisten,Interview mit Christoph Bieber,https://www.bpb.de/mediathek/646/politische-bildung-muss-hilfestellung-leisten,"Zwar stünden die bekannten Sozial Networks ""unter der Fuchtel der Anbieter"", sagt Christoph Bieber - aber auch dort könne Politik stattfinden. Die Nutzer müssten allerdings genau hinschauen, welche Ziele die Plattform-Betreiber tatsächlich verfolgten","Web 2.0, Internet, Social Media, Politikvermittlung, politische Bildung, Elektronische Medien"
Politisches einfach erklärt,Ohrenkuss-Clips - Politisches einfach erklärt: Wählen,https://www.bpb.de/mediathek/208518/ohrenkuss,,
Polizeiliche Strategien im Umgang mit linker Militanz bei Demonstrationen,Zwischen Eskalation und Deeskalation,https://www.bpb.de/mediathek/301999/polizeiliche-strategien-im-umgang-mit-linker-militanz-bei-demonstrationen,"Interview mit Udo Behrendes, Leitender Polizeidirektor a.D., Köln, Nordrhein-Westfalen","Polizei, Gewalt, Eskalation, Deeskalation, Demonstrationen, linke Militanz, Proteste"
Polizeiliche Strategien im Umgang mit linker Militanz bei Demonstrationen,Zwischen Eskalation und Deeskalation,https://www.bpb.de/mediathek/302086/polizeiliche-strategien-im-umgang-mit-linker-militanz-bei-demonstrationen,"Panel mit Udo Behrendes, Leitender Polizeidirektor a.D., Köln, Nordrhein-Westfalen","Polizei, Gewalt, Eskalation, Deeskalation, Demonstrationen, linke Militanz, Proteste"
Populisten und Social Media: Wie für einander gemacht?,"Ein Video aus der Reihe ""Netzdebatte""",https://www.bpb.de/mediathek/263573/populisten-und-social-media-wie-fuer-einander-gemacht,"Donald Trump kommuniziert am liebsten über Twitter, in Deutschland ist die AfD eine der aktivsten Parteien in den sozialen Netzwerken. Social Media und Populismus passen scheinbar besonders gut zusammen. Woran das liegt, erklärt die Politikwissenscha","Populismus, Social Media, soziale Netzwerke, Soziale Medien, Populisten"
Postdemokratie - jenseits der Nationalstaaten?,Streitraum vom 21.04.2013,https://www.bpb.de/mediathek/163422/postdemokratie-jenseits-der-nationalstaaten,Claus Leggewie im Gespräch mit Carolin Emcke über seine Vision von Europa rund ums Mittelmeer.,"Politische Ideologie, Europapolitik, Öffentliche Kommunikation, europäische Union, Flucht, Finanzkrise, Demokratie, Narrativ, Utopie, Nationalstaat"
Postfaktisch. Was ist das eigentlich?,Inhalt,https://www.bpb.de/mediathek/247081/postfaktisch-was-ist-das-eigentlich,"Was passiert mit einer Gesellschaft, die Fakten nicht mehr akzeptiert? Was, wenn die Wahrheit irgendwo zwischen ""alternativen"" Fakten und echten Tatsachen verloren geht?","Fake News, postfaktisch, Demokratie, Gesellschaft, Wahrheit, Fakten"
Pre-Crime,Eine Dokumentation von Monika Hielscher und Matthias Heeder,https://www.bpb.de/mediathek/299152/pre-crime,"Eine Software, die voraussagt, wo und wann ein Verbrechen geschehen wird und wer es potenziell begeht – was nach Science-Fiction klingt, ist vielerorts längst Realität. Die Dokumentation gewährt umfassende Einblicke in die Methoden des Predictive Pol","Predictive Policing, Verbrechen, Verbrechensbekämpfung, Kriminalität, Big Data, Datenanalyse, Vorhersage, Polizei"
Precious (in) Munich,// VIDEOCLIPS // Ferienprojekt mit Jugendlichen zwischen 13 und 18 Jahren,https://www.bpb.de/mediathek/290267/precious-in-munich,"Jugendliche drehten und produzierten kurze Videokampagnenclips zur Frage ""Was macht (m)ein Leben in München wertvoll?"".","Reich, Politik im Freien Theater, Projektwoche, Videokampagne"
Presse- und Meinungsfreiheit,Bei uns um die Ecke - Kurzspielfilme zum Grundgesetz für die Schule,https://www.bpb.de/mediathek/190781/presse-und-meinungsfreiheit,"Grundgesetz, Artikel 5: Presse- und Meinungsfreiheit. Herr Schuckmann will die Veröffentlichung des Lehrer-Checktests verhindern","Grundgesetz, Grundrecht, Rechtsstaat, Rundfunk- / Pressefreiheit"
Pressefreiheit,"Folge 11 aus der Serie ""Wenn's nach mir ginge""",https://www.bpb.de/mediathek/267624/pressefreiheit,"Hoffmann ärgert sich über widersprüchliche Pressemeldungen. Wenn's nach ihm ginge, brauchte man nur eine objektiv berichtende Zeitung. Allerdings, auf seine Sensationsstories möchte er auch nicht verzichten. Sie dürfen nur nicht von ihm handeln ... ","Zeitung, Pressefreiheit"
Pro: Kennzeichnungspflicht für Polizistinnen und Polizisten,Themen,https://www.bpb.de/mediathek/268707/pro-kennzeichnungspflicht-fuer-polizistinnen-und-polizisten,"In der Hälfte aller Bundesländer gibt es sie bereits: Die Kennzeichnungspflicht. Warum Polizist/-innen auf ihrer Uniform eine individuelle Kennziffer tragen sollten und eine bundesweite Einführung längst überfällig sei, erklärt Maria Scharlau von Amn","Kennzeichnungspflicht, Polizei, innere Sicherheit"
Prof Dr Stevan Weine and Cameron Sumpter about Community Policing and Reintegration of Former Extremist Prisoners,Inhalt,https://www.bpb.de/mediathek/302006/prof-dr-stevan-weine-and-cameron-sumpter-about-community-policing-and-reintegration-of-former-extremist-prisoners,"Interview with Prof. Dr Stevan Weine, University of Illinois, USA and Cameron Sumpter, Nanyang Technological University, Singapore","Stevan Weine, Cameron Sumpter, Community Policing, Reintegration, Extremism, Prisoner, glocal islamism"
Prof Dr Tahir Abbas about Islamophobia and Radicalisation,Inhalt,https://www.bpb.de/mediathek/301980/prof-dr-tahir-abbas-about-islamophobia-and-radicalisation,"Interview with Prof. Dr Tahir Abbas, University of Leiden, Netherlands","Tahir Abbas, Islamophobia, Radicalisation, glocal islamism"
Prof. Dr Helmut Fünfsinn about International Justice Cooperation,Inhalt,https://www.bpb.de/mediathek/302014/prof-dr-helmut-fuenfsinn-about-international-justice-cooperation,"Interview with Prof. Dr Helmut Fünfsinn, Attorney General, Central Public Prosecution Office, Frankfurt am Main, Germany","Helmut Fünfsinn, International Justice Cooperation, glocal islamism, public prosecutor"
"Prof. Dr. Fawaz Gerges über den ""Arabischen Frühling""",Inhalt,https://www.bpb.de/mediathek/301876/prof-dr-fawaz-gerges-ueber-den-arabischen-fruehling,"Impulsvortrag von Prof. Dr. Fawaz Gerges, London School of Economics and Political Science, Vereinigtes Königreich","Islamismus, religiös begründeter Extremismus, Arabischer Frühling, naher Osten, Demokratie, Islam, Muslimbruderschaft, Ägypten, Ungleichheit, Armut"
Prof. Dr. Helmut Fünfsinn über internationale Zusammenarbeit in der Justiz,Inhalt,https://www.bpb.de/mediathek/301917/prof-dr-helmut-fuenfsinn-ueber-internationale-zusammenarbeit-in-der-justiz,"Interview mit Prof. Dr. Helmut Fünfsinn, Generalstaatsanwaltschaft Frankfurt am Main.","Islamismus, religiös begründeter Extremismus, grenzüberschreitender Terrorismus, Justiz, Prävention"
Prof. Dr. Katharina Zweig: Der Einfluss von Algorithmen auf die gesellschaftliche und politische Kommunikation und Entscheidungsfindung,"Vortrag auf der bpb/KMK Fachtagung ""Digitale Welt als Thema in Schule und Unterricht"" am 15.11.2017",https://www.bpb.de/mediathek/260197/prof-dr-katharina-zweig-der-einfluss-von-algorithmen-auf-die-gesellschaftliche-und-politische-kommunikation-und-entscheidungsfindung,"Lebenswelt wird mehr und mehr von Algorithmen bestimmt. Wie genau beeinflussen Algorithmen unser gesellschaftliches Zusammenleben und welche Herausforderungen ergeben sich für Demokratie und Bildung? Diese spannenden Fragen wird Katharina Zweig, Prof","Digitalisierung, Algorithmen, Big Data, Medienkompetenz, KMK, Bildung, Schule"
Prof. Dr. Stevan Weine und Cameron Sumpter über gemeindebezogene Polizeiarbeit und die Reintegration von als islamistisch markierten Gefangenen,Inhalt,https://www.bpb.de/mediathek/301886/prof-dr-stevan-weine-und-cameron-sumpter-ueber-gemeindebezogene-polizeiarbeit-und-die-reintegration-von-als-islamistisch-markierten-gefangenen,"Interview mit Prof. Dr. Stevan Weine, University of Illinois, USA und Cameron Sumpter, Nanyang Technological University, Singapur.","Islamismus, religiös begründeter Extremismus, Sicherheitsbehörden, Prävention, Radikalisierung, Strafvollzug, Community-Policing, Süd-Ost-Asien, Justizvollzugsanstalt, Gefängnis, Terrorismus"
Prof. Dr. Tahir Abbas über Wechselwirkungen von Islamfeindlichkeit und Radikalisierung,Inhalt,https://www.bpb.de/mediathek/301824/prof-dr-tahir-abbas-ueber-wechselwirkungen-von-islamfeindlichkeit-und-radikalisierung,"Interview mit Prof. Dr. Tahir Abbas, University of Leiden, Niederlande. ","Islamismus, religiös begründeter Extremismus, Islamfeindlichkeit, Radikalisierung, Diskriminierung, Rassismus, Muslimfeindlichkeit, antimuslimischer Rassismus"
Prof. Dr. Wolfgang Sander: Das gesellschaftliche Problemfeld Digitalisierung als Aufgabe der politischen Bildung in Schulen,"Vortrag auf der bpb/KMK Fachtagung ""Digitale Welt als Thema in Schule und Unterricht"" am 15.11.2017",https://www.bpb.de/mediathek/260201/prof-dr-wolfgang-sander-das-gesellschaftliche-problemfeld-digitalisierung-als-aufgabe-der-politischen-bildung-in-schulen,"Die Digitalisierung ist allgegenwärtig und stellt Politik, Gesellschaft und den Lebensraum Schule vor neue Aufgaben. Wolfgang Sander wird in seinem Vortrag das Problemfeld und die daraus folgenden Herausforderungen für die politische Bildung näher er","Digitalisierung, Algorithmen, Big Data, Medienkompetenz, KMK, Bildung, Schule"
Profitgier,"Ein Kurzfilm aus der Reihe ""Warum Armut?""",https://www.bpb.de/mediathek/203981/profitgier,"Nahrungsmittelspekulation ist ein lukratives Geschäft. Jedoch treibt sie die Preise für Lebensmittel so stark in die Höhe, dass sie für viele Menschen zu teuer werden. Dieser Kurzfilm lässt beide Seiten zu Wort kommen.","Nahrungsmittelspekulation, Armut, soziale Ungleichheit, Ernährung"
Programmieren leicht gemacht,"Umfrage: Coden, spielen, Spaß haben",https://www.bpb.de/mediathek/281120/programmieren-leicht-gemacht,"Coden nach dem Baukastenprinzip und Schatzkarten für Roboter entwickeln: Teilnehmende der Veranstaltung ""Coden, spielen, Spaß haben"" der Stiftung barrierefrei kommunizieren! haben niedrigschwellige Programmierangebote für Schule und Unterricht getest","Coden, SmartKids, Programmieren, Barrierefreiheit, Digitale Inklusion, Coding"
Projektentwicklung,"Aus der Reihe ""Vorbild - Politische Bildung für Förderschulen""",https://www.bpb.de/mediathek/341/projektentwicklung,"Die Schüler arbeiten gemeinsam an dem Projekt ""Veränderung des Schulhofs"" und entwickeln Vorschläge zur Verbesserung.","Sonderschule, Förderschule, Menschen mit Behinderung, Partizipation, politische Bildung"
Projektvertrag,"Aus der Reihe ""Vorbild - Politische Bildung für Förderschulen""",https://www.bpb.de/mediathek/281/projektvertrag,Die Schüler stellen dem Rektor der Schule die Modelle zur Schulhofgestaltung vor und schließen mit ihm einen Vertrag ab.,"Sonderschule, Förderschule, Menschen mit Behinderung, politische Bildung, Partizipation"
Propagandalügen im Irakkrieg,Inhalt,https://www.bpb.de/mediathek/136311/propagandaluegen-im-irakkrieg,Die Kriegsreporterin Antonia Rados über ihre Erfahrung mit Propagandalügen im Irakkrieg 2003.,"Medien und Kommunikation, Journalismus, Propaganda, Irakkrieg, Krieg"
Protest gegen Zensur,Die Zeitungen der Kirche,https://www.bpb.de/mediathek/727/protest-gegen-zensur,"KONTRASTE zeigt auf, wie die kirchlichen Zeitungen in der DDR zensiert werden. Systemkritiker protestieren gegen die staatlichen Einschränkungen und bestehen auf Meinungs-, Presse- und Informationsfreiheit.","DDR 1949 - 1990 / Opposition, Zeitung, Zensur, Kirche, Rundfunk- / Pressefreiheit, DDR 1949 - 1990"
Protest! Eine Einführung,Inhalt,https://www.bpb.de/mediathek/298788/protest-eine-einfuehrung,"Einführungsvortrag von Prof. Dr. Dieter Rucht, Wissenschaftszentrum Berlin für Sozialforschung und Institut für Protest- und Bewegungsforschung ","Auf die Straße, Tagung, Protest, Definition, Begriffserklärung, Entwicklungen"
Protest! Eine Einführung,Inhalt,https://www.bpb.de/mediathek/298299/protest-eine-einfuehrung,"Interview mit Prof. Dr. Dieter Rucht, Wissenschaftszentrum Berlin für Sozialforschung und Institut für Protest- und Bewegungsforschung","Protest, Demokratie, Entwicklung, Herausforderungen"
Protestroboter Marvin | Prototyp des Hackathons der werkstatt bpb,Weitere Informationen,https://www.bpb.de/mediathek/246379/protestroboter-marvin-prototyp-des-hackathons-der-werkstatt-bpb,"Beim Hackathon ""Selbstbestimmt leben in der vernetzten Gesellschaft"" der werkstatt.bpb haben Teilnehmende unterschiedlicher Fachrichtungen Prototypen zum Thema Internet der Dinge entwickelt. Hier präsentiert die Gruppe Protestroboter ihren Prototypen","Hackathon, Bildung, Internet of Things, Protest"
Prozessorientiertes Lernen im Internet,Elena Garcia im Interview,https://www.bpb.de/mediathek/311/prozessorientiertes-lernen-im-internet,"In der Politik sei es wichtig, die Konsequenzen des eigenen Handelns zu antizipieren, sagt Elena Garcia. Mit den neuen Medien lassen sich komplexe Handlungsfolgen visualisieren und nachvollziehbar machen.","Neue Medien, Zivilgesellschaft, politische Bildung, Elektronische Medien"
Präsidentschaftswahlen in Ruanda,Hintergrund aktuell - zum Nachhören,https://www.bpb.de/mediathek/253443/praesidentschaftswahlen-in-ruanda,"In Ruanda finden am 4. August 2017 Präsidentschaftswahlen statt, zum dritten Mal seit dem Völkermord von 1994. Der Sieg des amtierenden Präsidenten Paul Kagamé gilt als sicher. Der ehemalige Rebellenchef regiert Ruanda seit dem Jahr 2000 und hat das ","Präsidentschaftswahlen, Paul Kagame, Ruanda, Völkermord, Hutu, Tutsi"
"Qualität statt ""Google-Journalismus""",Thomas Leif im Interview,https://www.bpb.de/mediathek/327/qualitaet-statt-google-journalismus,Der Chefreporter TV des Südwestrundfunks in Mainz warnt vor der Verwendung receycelter Informationen.,"politische Bildung, Medien, Journalismus, Recherche, Elektronische Medien"
Quellenauswahl bei der Kriegsberichterstattung,Weitere Informationen,https://www.bpb.de/mediathek/136300/quellenauswahl-bei-der-kriegsberichterstattung,Die Journalistin Bettina Gaus über die Quellenauswahl bei der Kriegsberichterstattung.,"Medien und Kommunikation, Journalismus, Krieg, Nachrichten"
"Quo vadis, Berlin? Zwischen Angst vor Gentrifizierung und Angst vor Verarmung",Streitraum vom 11.3.12,https://www.bpb.de/mediathek/151614/quo-vadis-berlin-zwischen-angst-vor-gentrifizierung-und-angst-vor-verarmung,Martin Kronauer und Franz Schulz im Gespräch min Carolin Emcke,"Gentrifizierung, Armut, Dienstleistungsgesellschaft, Stadtbevölkerung, Sparpolitik, Stadt, Lokalpolitik, Globalisierung, Infrastruktur"
RAF-Ermittler als Ziele von Attentaten,Die RAF-Prozesse - Ehemalige Bundesanwälte erinnern sich,https://www.bpb.de/mediathek/190761/raf-ermittler-als-ziele-von-attentaten,Die RAF-Ermittler wurden zum Ziel von Attentaten. Wie gingen sie mit dieser Bedrohung um?,"Rote Armee Fraktion, APO / Studentenbewegung, Terrorismus, Rechtsstaat, Justiz"
Rachel aus Zentralasien,aus der Reihe: Zuflucht gesucht - Seeking Refuge,https://www.bpb.de/mediathek/235015/rachel-aus-zentralasien,"In diesem Animationsfilm erzählt Rachel ihre Geschichte. Rachels Familie bekennt sich zum christlichen Glauben und wird in ihrem muslimischen Heimatland bedroht und ausgegrenzt. Der Familie gelingt die Flucht nach Europa, doch nach einem kurzen, unbe","Flucht, Asyl, Migration, Zentralasien, unbefristete Aufenthaltserlaubnis, Asylrecht"
Rachel's Story. A Journey from a Country in Eurasia,"Part of the series ""Seeking Refuge""",https://www.bpb.de/mediathek/235255/rachel-s-story-a-journey-from-a-country-in-eurasia,"Rachel's family is Christian and is both threatened and excluded in their Muslim country. The family flees to Europe. However, after a short, unburdened time they are in custody pending deportation. Back where they came from, the family is even more ","Flucht, Asyl, Migration, Zentralasien, unbefristete Aufenthaltserlaubnis, Asylrecht, Refugees, Integration"
Radfahrer,Der Film,https://www.bpb.de/mediathek/125419/radfahrer,"Der Kurzfilm ""Radfahrer"" kontrastiert Schwarz-Weiß-Bilder des Fotografen Harald Hauswald mit eingesprochenen Textauszügen aus dessen Stasi-Akte. Das manipulative Potential filmischer Montage regt dazu an, die eigenen Sehgewohnheiten zu hinterfragen.","Fotografie, DDR 1949 - 1990 / Opposition, DDR, Stasi, Überwachung"
Radfahrer - Bonusfilm,Gespräch mit Harald Hauswald,https://www.bpb.de/mediathek/125420/radfahrer-bonusfilm,"Für diesen Film hat der Regisseur Marc Thümmler mit Harald Hauswald einige der Orte besucht, die Hauswald in den achtziger Jahren fotografiert hat. Dort spricht der Fotograf über sein Leben in der DDR und seit dem Mauerfall.","DDR 1949 - 1990 / Opposition, Fotografie, DDR, Stasi, Überwachung"
Radical Nationalsim in Western Europe - Pre-1945,"Dr. Timthy Baycroft, University of Sheffield, Großbritannien",https://www.bpb.de/mediathek/279156/radical-nationalsim-in-western-europe-pre-1945,"Der Zweite Weltkrieg, so schien es lang, hat in Europa die Kräfte des Nationalismus bezwungen. Doch bald, erst leise, dann lauter, erhob sich zunächst in Westeuropa wieder das Credo „Wir zuerst!“. Timothy Baycroft wirft einen Blick auf die Vergangenh","Nationalismus, Nationalismus in Westeuropa, nationalism, nationalism in western europe, Pre 1945, Wir zuerst"
Radikalisierung der Gesellschaft?,Wie Rechtsextreme und Islamisten das gesellschaftliche Zusammenleben herausfordern,https://www.bpb.de/mediathek/282932/radikalisierung-der-gesellschaft,Rechtsextremismus und islamistischer Extremismus stellen Herausforderungen für die pluralistische Gesellschaft dar. Sie Interagieren miteinander und finden Widerhall in der gesellschaftlichen Mitte. Rechtsextreme und Islamisten versuchen für ihre Zwe,Radikalisierung; Rechtsextremismus; Islamismus
Radikalisierung von Muslimen,Erklärfilm aus dem Dossier Islamismus – bpb.de/islamismus,https://www.bpb.de/mediathek/236880/radikalisierung-von-muslimen,Viele der Tatbeteiligten in Paris und Brüssel sind in Frankreich und Belgien aufgewachsen und haben sich dort radikalisiert. Auch in Deutschland radikalisieren sich junge Muslime. Für die Gesellschaft ist das eine enorme Herausforderung. Wer radikali,"Islamismus, Terrorismus, Salafismus, Dschihadismus, Radikalisierung, IS, Islamischer Staat, Islam"
Rafał Pankowski: The Populist Radical Right in Poland,Weitere Informationen,https://www.bpb.de/mediathek/261403/rafa-pankowski-the-populist-radical-right-in-poland,"Lecture at the Mapping Memories Conference 2017: ""Fascism and Antifascism in Our Time: Critical Investigations""","Faschismus, Antifaschismus, Geschichte, Fascism, Antifascism, History"
Ralf Klausnitzer zum Begriff der Lügenpresse,Inhalt,https://www.bpb.de/mediathek/242205/ralf-klausnitzer-zum-begriff-der-luegenpresse,"Lügenpresse: Mit den Pegida-Demonstrationen ist ein Wort in die politische Auseinandersetzung zurückgekehrt, das in der völkischen und nationalsozialistischen Propaganda Konjunktur hatte. Ralf Klausnitzer zur Geschichte und Gegenwart des rechtspopuli","Rechtsextremismus, Rechtspopulismus, Lügenpresse, PEGIDA, Populismus"
Randgruppen,"Folge 20 aus der Serie ""Wenn's nach mir ginge""",https://www.bpb.de/mediathek/267664/randgruppen,"Was man mit gesellschaftlichen Außenseitern macht, weiß Hoffmann ganz genau: kurzen Prozess! Aber andererseits brauchen sie vielleicht ja nur den segensreichen Einfluß eines geordneten Zuhauses? Hoffmann macht die Probe aufs Exempel.","Gesellschaft, Gruppe"
Rashad Zaman Ali about Hizb ut-Tahrir,Inhalt,https://www.bpb.de/mediathek/301981/rashad-zaman-ali-about-hizb-ut-tahrir,"Interview with Rashad Zaman Ali, Institut for Stategic Dialogue, London, United Kingdom ","Rashad Zaman Ali, Hizb ut-Tahrir, glocal islamism"
Rashad Zaman Ali über Hizb ut-Tahrir,Inhalt,https://www.bpb.de/mediathek/301832/rashad-zaman-ali-ueber-hizb-ut-tahrir,"Interview mit Rashad Zaman Ali, Institute for Stategic Dialogue, London, Vereinigtes Königreich. ","Islamismus, religiös begründeter Extremismus, Hizb ut-Tahrir, Demokratie"
Rasmus Kleis Nielsen: The power of platforms and how publishers adapt,"Beitrag zur Redenreihe ""Making sense of the digital society""",https://www.bpb.de/mediathek/303981/rasmus-kleis-nielsen-the-power-of-platforms-and-how-publishers-adapt,"In diesem Vortrag wird Rasmus Kleis Nielsen die Geschichte der ersten zwanzig Jahre der Beziehungen zwischen Plattformen und Verlagen Revue passieren lassen, um die zugrunde liegenden Dynamiken zu identifizieren, die die Entwicklung unserer digitalen","Digitalisierung, Making Sense of the Digital Society"
Rassismus,Erklärt von Dr. Zülfukar Çetin im Dossier Rechtsextremismus,https://www.bpb.de/mediathek/217599/rassismus,"Was ist Rassismus, seit wann gibt es den ""Rasse""-Begriff und wie hat er sich im Laufe der Jahrhunderte verändert? Dr. Zülfukar Çetin mit einer Begriffsklärung, die die Geschichte rassistischer Diskrminierung offenbart.","Rassismus, Rechtsextremismus, gruppenbezogene Menschenfeindlichkeit, Diskriminierung"
Rassismus begegnen,Ein Infofilm zu Rassismus,https://www.bpb.de/mediathek/197285/rassismus-begegnen,"Ob auf der Straße, im Internet, bei der Jobsuche: Rassismus kann überall auftreten. Dieser Film macht deutlich, was das eigentlich für die Betroffenen bedeutet.","Rassismus, Diskriminierung, Ausländer, Kulturelle Integration, Fremdenfeindlichkeit, gruppenbezogene Menschenfeindlichkeit"
